Player Count,LINEUPS,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE
5,P. Tucker - T. Harris - M. Harrell - D. Melton - S. Milton,PHI,5,60,118.6,108.4,10.2,47.2,1.79,15.7,28.6,83.6,55.9,0.1,55,59.4,94.69,52.1
5,J. Embiid - G. Niang - D. House Jr. - D. Melton - T. Maxey,PHI,5,33,107.2,136.2,-29,72,1.2,19.8,15.4,51.9,34,0.2,61,65.4,99.85,35.3
5,G. Niang - S. Milton - J. McDaniels - T. Maxey - P. Reed,PHI,5,20,119,84.1,35,31.6,1.2,12,13.3,77.3,51.4,0.1,62.1,67.6,102.31,71.6
5,G. Niang - S. Milton - M. Thybulle - T. Maxey - P. Reed,PHI,5,20,123.4,108.5,14.9,50,2.75,16.9,40,75,55.6,0.1,57.1,61.9,112.41,59
5,P. Tucker - J. Embiid - G. Niang - D. Melton - S. Milton,PHI,5,20,111.9,72.1,39.8,73.7,2.8,24.1,12.5,77.3,50,0.1,64.3,65.5,103.9,72.7
5,J. Harden - M. Harrell - G. Niang - D. House Jr. - S. Milton,PHI,5,17,121.2,97.1,24.1,35.7,1.67,12.2,20,66.7,47.2,0.1,55.2,60.7,96.53,61.2
5,P. Tucker - T. Harris - D. Melton - S. Milton - P. Reed,PHI,5,16,156.7,109.7,47,47.4,2.25,18.4,71.4,80,75,0.1,63.6,65.9,92.09,65.1
5,T. Harris - J. Embiid - G. Niang - D. Melton - T. Maxey,PHI,5,16,125.8,120.7,5.1,57.1,2,17.8,46.2,69.2,57.7,0.1,55.6,61.2,91.79,56.1
5,T. Harris - J. Embiid - G. Niang - D. Melton - S. Milton,PHI,5,15,113.3,96.6,16.8,77.8,3.5,17.9,15.4,80,43.5,0.1,50,62.3,96.28,59.4
5,P. Tucker - J. Harden - T. Harris - M. Harrell - T. Maxey,PHI,5,14,100,121.4,-21.4,36.4,1,10.3,26.7,90.9,53.8,0.1,53.8,55.8,101.99,38.5
5,J. Embiid - G. Niang - D. Melton - S. Milton - M. Thybulle,PHI,5,12,69.2,128,-58.8,83.3,0.71,16.1,0,50,28,0.3,41.2,48,103.71,25.8
5,J. Harden - T. Harris - M. Harrell - G. Niang - T. Maxey,PHI,5,12,154.5,90.5,64.1,78.6,5.5,30.6,37.5,83.3,65,0.1,76.2,74.7,89.22,78.2
5,M. Harrell - G. Niang - D. House Jr. - S. Milton - M. Thybulle,PHI,5,12,106.7,106.3,0.4,63.6,2.33,17.1,30.8,58.8,46.7,0.1,52.1,56.3,120.99,46.9
5,G. Niang - F. Korkmaz - D. House Jr. - D. Melton - P. Reed,PHI,5,11,96.4,116.7,-20.2,72.7,1.33,20.5,25,53.3,40.7,0.2,59.1,57.9,111.78,46.9
5,J. Harden - T. Harris - J. Embiid - D. Melton - M. Thybulle,PHI,5,11,96.2,84,12.2,80,4,21.6,28.6,70,45.8,0.1,47.8,50.5,112.53,59.8
5,T. Harris - G. Niang - D. Melton - S. Milton - P. Reed,PHI,5,11,88.9,119.2,-30.3,70,1.75,19.4,15.4,75,44,0.1,47.8,50.3,112.57,42.7
5,T. Harris - G. Niang - D. Melton - T. Maxey - P. Reed,PHI,5,11,79.2,104,-24.8,20,1,3.7,13.3,78.6,44.8,0,28.9,40.6,107.54,27.3
5,T. Harris - G. Niang - F. Korkmaz - S. Milton - P. Reed,PHI,5,10,72.7,116.7,-43.9,100,0.83,17.2,22.2,53.3,41.7,0.3,42.9,50.8,105.31,24.6
5,T. Harris - J. Embiid - G. Niang - S. Milton - T. Maxey,PHI,5,10,100,128.6,-28.6,71.4,0.83,14.7,54.5,77.8,65,0.3,41.7,52.4,108.96,39.8
5,P. Tucker - J. Harden - T. Harris - M. Harrell - D. Melton,PHI,5,9,90.9,165,-74.1,33.3,0,8,7.1,57.1,23.8,0,39.5,43.6,110.16,16
5,T. Harris - M. Harrell - G. Niang - D. Melton - T. Maxey,PHI,5,8,85,100,-15,57.1,0.57,14.8,33.3,72.7,55,0.3,50,50.4,114.66,39.3
5,J. Harden - T. Harris - J. Embiid - D. Melton - S. Milton,PHI,5,7,65,105.6,-40.6,66.7,0.4,8.7,14.3,81.8,55.6,0.3,40,51.4,124.11,27
5,P. Tucker - T. Harris - J. Embiid - S. Milton - T. Maxey,PHI,5,3,120,44.4,75.6,50,2,16.7,0,75,66.7,0.1,80,88.8,159.53,116.1
5,P. Tucker - T. Harris - J. Embiid - M. Thybulle - T. Maxey,PHI,4,52,118.7,84,34.7,55.3,2,18.6,19.5,69.5,49,0.1,58,64.2,98.02,73.8
5,P. Tucker - T. Harris - J. Embiid - D. Melton - T. Maxey,PHI,4,48,106.2,98,8.2,48.7,1.19,14.8,26.7,81.1,56.1,0.2,53,56.9,98.7,54.7
5,P. Tucker - J. Harden - J. Embiid - D. Melton - S. Milton,PHI,4,26,120,110.9,9.1,61.9,1.44,18.1,18.2,72.4,49,0.2,59.8,66.3,101.45,54.7
5,J. Harden - J. Embiid - D. Melton - J. McDaniels - T. Maxey,PHI,4,21,144,129.4,14.6,66.7,1.75,19.7,47.1,81,65.8,0.2,67.1,74.8,113.54,56.6
